competitor_count,avg_similarity,opportunity_count,risk_count,missing_feature_count,target_score
6,0.935,10,9,7,100.0
17,0.298,8,1,9,100.0
18,0.123,1,5,4,54.92
8,0.679,0,6,2,47.03
14,0.644,5,10,1,47.9
0,0.654,8,9,10,100.0
6,0.779,7,0,3,100.0
4,0.362,8,7,4,100.0
10,0.806,3,9,2,45.85
6,0.834,6,9,9,85.15
20,0.158,4,9,8,60.05
8,0.537,10,7,1,100.0
16,0.666,10,6,2,91.35
0,0.383,5,7,6,100.0
18,0.679,6,2,9,93.03
15,0.513,1,2,10,75.17
4,0.146,5,9,0,82.35
11,0.212,9,0,7,100.0
19,0.303,8,0,4,100.0
1,0.164,5,0,10,100.0
7,0.84,3,1,7,93.0
18,0.678,6,7,0,55.05
8,0.384,7,0,4,100.0
9,0.992,6,6,1,71.2
0,0.658,3,7,3,79.55
8,0.818,10,6,2,100.0
3,0.388,7,0,8,100.0
17,0.796,0,8,0,14.1
1,0.549,10,7,1,100.0
3,0.594,7,5,9,100.0
8,0.282,8,0,7,100.0
6,0.287,9,2,2,100.0
9,0.321,0,6,0,49.97
14,0.234,10,4,8,100.0
4,0.399,4,3,9,100.0
17,0.441,0,3,3,48.98
15,0.741,8,5,9,97.47
14,0.535,7,5,7,94.62
18,0.546,9,6,5,90.35
2,0.162,6,5,9,100.0
8,0.771,4,7,3,66.72
17,0.834,2,8,9,43.15
6,0.736,5,2,3,97.6
10,0.554,1,8,2,44.15
17,0.497,6,9,10,73.58
1,0.68,5,4,7,100.0
11,0.539,0,6,4,48.53
1,0.211,2,1,9,100.0
13,0.166,5,2,9,100.0
20,0.58,6,5,7,75.5
16,0.185,3,6,7,71.38
10,0.777,1,1,1,64.58
7,0.667,7,4,4,100.0
7,0.946,1,10,1,30.35
15,0.392,5,5,1,72.2
20,0.404,2,7,10,53.9
11,0.759,3,1,3,79.03
20,0.36,2,4,8,63.0
17,0.637,7,10,9,70.08
10,0.866,1,9,5,38.35
7,0.342,1,6,10,79.45
1,0.351,4,2,9,100.0
6,0.697,6,0,4,100.0
3,0.515,6,0,7,100.0
10,0.781,2,10,1,34.47
2,0.886,5,1,2,100.0
2,0.153,1,1,10,100.0
4,0.32,8,7,10,100.0
6,0.954,0,7,3,42.15
10,0.458,9,3,10,100.0
7,0.79,1,8,8,56.25
14,0.869,6,6,3,68.28
2,0.144,1,6,1,76.4
19,0.874,3,8,3,32.15
9,0.685,9,1,3,100.0
11,0.987,10,10,0,73.33
11,0.523,6,3,0,88.92
14,0.23,10,0,4,100.0
10,0.496,1,9,1,39.6
1,0.914,10,6,10,100.0
12,0.859,1,3,2,52.52
9,0.315,7,8,10,100.0
3,0.162,6,8,9,100.0
16,0.561,8,3,2,93.97
3,0.111,7,10,4,100.0
1,0.22,1,7,5,80.5
18,0.361,8,3,6,100.0
10,0.627,2,1,5,82.33
4,0.166,10,0,0,100.0
8,0.821,2,6,0,51.48
1,0.475,10,7,10,100.0
6,0.81,4,9,6,67.75
13,0.757,1,1,1,59.08
20,0.924,7,4,10,82.9
12,0.922,6,2,7,94.95
13,0.43,4,0,1,89.25
2,0.171,0,7,7,77.72
20,0.601,10,4,5,98.97
9,0.406,7,9,3,83.85
0,0.761,6,9,10,100.0
4,0.991,5,9,7,75.22
20,0.227,10,0,2,100.0
18,0.72,0,1,0,42.0
12,0.689,5,9,5,62.78
20,0.75,1,10,8,23.25
1,0.843,10,8,8,100.0
1,0.466,9,2,6,100.0
4,0.939,7,0,3,100.0
0,0.511,6,0,7,100.0
4,0.448,7,10,4,90.8
3,0.136,5,8,2,92.6
4,0.437,7,3,3,100.0
18,0.175,5,9,0,53.62
20,0.322,8,9,3,69.95
12,0.695,7,6,0,76.62
12,0.593,7,8,7,85.17
1,0.779,9,9,1,98.53
14,0.611,8,0,7,100.0
10,0.426,0,10,5,39.35
13,0.982,8,3,9,100.0
7,0.343,6,8,7,95.42
18,0.105,0,8,1,31.38
5,0.262,6,6,5,100.0
6,0.187,10,2,4,100.0
1,0.768,6,5,1,96.8
3,0.88,3,1,3,92.0
17,0.601,3,0,9,86.97
4,0.881,2,8,7,63.97
18,0.625,1,6,3,36.38
0,0.39,9,3,9,100.0
18,0.206,6,5,3,80.85
4,0.78,7,3,1,100.0
6,0.298,10,9,6,100.0
17,0.583,7,6,9,87.42
0,0.455,0,10,6,60.62
5,0.451,7,7,10,100.0
6,0.156,3,6,7,92.1
11,0.267,7,5,5,100.0
7,0.926,4,4,9,88.85
4,0.934,4,1,4,96.65
15,0.316,0,6,2,42.1
7,0.775,9,3,10,100.0
1,0.176,3,5,1,93.6
2,0.205,5,10,3,86.88
14,0.963,7,4,4,81.92
11,0.393,0,9,6,44.17
12,0.824,6,9,10,75.4
16,0.314,2,8,10,60.15
0,0.395,10,8,8,100.0
3,0.292,9,2,2,100.0
12,0.69,1,4,9,66.75
13,0.49,10,5,4,100.0
15,0.723,8,6,7,89.92
7,0.704,2,2,10,92.4
5,0.445,7,1,0,100.0
20,0.322,3,1,0,65.95
5,0.628,0,1,2,74.3
4,0.993,4,2,9,100.0
8,0.108,5,3,9,100.0
20,0.235,3,1,4,76.12
4,0.428,4,1,5,100.0
8,0.375,5,9,6,80.62
13,0.789,2,2,9,76.28
5,0.967,8,5,10,100.0
10,0.617,8,0,10,100.0
14,0.718,5,5,7,78.05
9,0.807,0,5,9,59.83
4,0.726,4,0,3,100.0
17,0.756,0,8,1,17.1
12,0.497,7,7,7,91.58
5,0.202,5,5,6,100.0
11,0.183,7,2,8,100.0
15,0.538,7,7,2,74.55
16,0.88,5,5,10,76.0
3,0.204,0,8,7,70.9
14,0.758,6,2,2,85.05
1,0.634,3,8,5,78.15
0,0.52,4,7,2,87.0
9,0.911,6,1,5,100.0
3,0.9,4,9,8,75.5
2,0.694,5,5,7,100.0
2,0.251,9,3,5,100.0
20,0.607,9,7,5,80.83
15,0.723,10,0,8,100.0
0,0.397,3,4,1,94.08
1,0.974,7,7,4,95.65
14,0.712,5,0,5,94.2
12,0.311,6,4,2,92.22
11,0.824,4,2,9,91.4
4,0.644,2,10,7,61.9
8,0.26,8,7,8,100.0
15,0.727,7,2,2,89.83
18,0.596,2,1,2,61.1
17,0.62,7,0,7,100.0
15,0.543,10,9,2,84.42
16,0.649,7,7,7,79.78
12,0.854,10,0,0,100.0
8,0.672,1,6,10,69.2
4,0.196,6,6,9,100.0
5,0.781,8,8,4,94.47
11,0.216,5,3,3,96.6
15,0.935,6,9,4,54.62
15,0.725,1,10,1,19.88
16,0.24,10,10,6,94.0
6,0.678,7,8,10,100.0
0,0.923,2,5,0,68.92
20,0.437,10,0,1,100.0
15,0.858,2,10,0,20.55
12,0.982,1,2,9,67.45
14,0.145,3,8,6,66.38
6,0.118,8,6,7,100.0
0,0.491,3,8,4,81.72
10,0.104,7,1,10,100.0
8,0.593,2,1,7,91.17
20,0.153,6,6,3,74.17
18,0.186,8,0,4,100.0
10,0.693,9,7,10,100.0
6,0.667,1,0,10,97.33
3,0.822,0,9,4,45.45
14,0.929,1,8,9,40.77
3,0.525,7,1,0,100.0
11,0.709,3,6,5,64.28
5,0.481,5,3,5,100.0
17,0.911,7,3,6,85.22
4,0.485,4,0,10,100.0
5,0.333,2,8,4,69.67
6,0.561,4,9,1,63.97
2,0.141,6,6,9,100.0
18,0.305,7,5,6,90.38
13,0.877,4,0,7,90.08
7,0.543,0,8,3,46.42
9,0.137,0,10,7,52.58
11,0.975,9,6,5,93.62
14,0.131,2,3,7,82.72
2,0.672,7,8,9,100.0
19,0.248,10,2,7,100.0
20,0.21,3,5,3,58.75
11,0.411,6,5,0,83.72
16,0.27,9,8,1,85.25
14,0.875,4,2,1,68.12
13,0.48,1,7,8,56.0
7,0.231,1,2,6,90.22
20,0.765,7,2,5,84.88
12,0.8,4,0,8,96.0
9,0.118,1,9,4,57.05
10,0.426,3,8,7,69.35
9,0.248,6,9,3,81.8
3,0.962,10,7,3,100.0
6,0.422,3,2,1,89.45
3,0.553,7,8,3,96.17
18,0.222,3,0,0,76.45
10,0.18,3,10,2,57.5
10,0.288,5,3,9,100.0
6,0.379,3,0,4,100.0
7,0.455,1,7,2,56.62
12,0.192,1,1,5,83.2
18,0.577,4,7,4,53.58
4,0.115,8,6,8,100.0
16,0.327,5,7,8,77.83
7,0.391,5,0,5,100.0
4,0.422,0,5,6,73.45
19,0.123,1,4,10,68.92
7,0.715,9,7,0,94.12
20,0.16,2,2,1,62.0
12,0.455,1,8,6,50.62
1,0.207,8,0,5,100.0
6,0.541,7,1,4,100.0
11,0.135,0,8,10,62.62
12,0.832,8,2,4,100.0
5,0.387,3,7,4,78.33
2,0.741,7,6,8,100.0
15,0.249,10,2,8,100.0
20,0.355,5,4,9,83.12
16,0.234,9,6,10,100.0
18,0.247,3,8,3,49.83
20,0.11,5,3,5,85.25
9,0.415,8,0,10,100.0
4,0.826,8,4,2,100.0
4,0.74,8,5,2,100.0
1,0.165,5,7,6,100.0
12,0.399,1,9,9,54.03
20,0.711,9,4,8,96.22
19,0.688,4,5,2,52.8
0,0.845,7,6,10,100.0
6,0.381,9,0,1,100.0
6,0.119,0,8,6,65.03
19,0.878,10,5,2,84.05
15,0.83,6,1,1,83.25
1,0.174,3,5,2,95.65
12,0.215,0,7,4,50.62
8,0.402,5,1,9,100.0
15,0.357,4,10,4,53.08
13,0.802,4,5,1,59.95
17,0.867,2,4,7,54.33
8,0.244,0,3,4,73.9
20,0.191,4,0,1,81.22
20,0.217,3,0,0,72.58
18,0.192,8,9,8,87.2
10,0.891,6,1,2,93.72
18,0.282,3,8,5,52.95
0,0.511,0,2,4,87.22
10,0.168,4,10,6,71.8
2,0.394,1,4,4,84.15
3,0.208,2,3,1,90.8
4,0.998,10,1,2,100.0
0,0.399,7,0,6,100.0
2,0.732,5,8,8,91.7
5,0.44,0,0,6,91.0
12,0.526,9,4,7,100.0
14,0.37,2,3,3,68.75
9,0.519,5,6,0,75.03
4,0.662,5,1,0,100.0
9,0.994,3,9,3,45.15
10,0.839,3,7,2,53.03
13,0.912,4,10,7,49.2
17,0.637,2,2,2,58.08
3,0.729,6,5,1,93.78
6,0.989,6,6,10,95.28
14,0.899,9,5,1,85.53
4,0.777,0,1,0,68.58
2,0.46,3,2,10,100.0
18,0.735,2,5,9,55.62
6,0.115,1,10,7,65.12
5,0.21,5,2,9,100.0
18,0.168,4,1,7,93.8
20,0.238,8,7,7,88.05
3,0.299,3,0,7,100.0
19,0.977,0,9,3,7.58
9,0.27,3,9,2,61.25
7,0.878,10,0,0,100.0
2,0.111,0,7,9,83.22
3,0.143,6,4,1,100.0
13,0.765,0,10,5,24.88
20,0.5,10,10,0,67.5
11,0.119,5,6,4,89.03
8,0.458,10,4,8,100.0
12,0.648,6,0,4,100.0
16,0.906,2,6,3,39.35
12,0.778,8,10,6,76.55
3,0.26,8,0,0,100.0
0,0.932,1,7,4,62.7
17,0.887,6,6,2,59.83
10,0.395,0,8,8,54.12
14,0.525,9,8,10,100.0
9,0.258,8,6,4,100.0
10,0.57,0,7,2,41.75
15,0.648,6,8,10,77.8
11,0.85,5,3,8,90.75
20,0.552,4,8,9,56.2
12,0.177,7,10,6,85.58
9,0.643,1,4,2,59.92
18,0.566,9,1,6,100.0
20,0.98,5,10,8,41.5
3,0.692,8,3,10,100.0
10,0.406,5,3,6,99.85
12,0.55,9,7,10,100.0
4,0.335,8,4,10,100.0
14,0.469,5,6,10,86.28
7,0.578,1,6,6,65.55
12,0.788,6,3,10,100.0
18,0.953,9,9,0,58.17
12,0.889,8,2,1,95.78
17,0.684,0,9,2,16.9
1,0.767,3,10,10,76.83
7,0.148,6,9,5,92.3
20,0.456,0,7,9,38.6
8,0.859,5,6,9,86.53
0,0.887,4,6,1,79.83
8,0.844,0,9,3,32.9
4,0.262,1,4,8,91.45
15,0.123,4,1,6,98.92
18,0.261,6,6,8,85.47
17,0.773,3,0,4,72.67
5,0.338,7,7,1,97.55
11,0.249,3,9,10,73.78
19,0.82,9,10,0,55.5
17,0.232,2,6,4,56.2
12,0.888,4,4,0,61.8
1,0.651,8,8,5,100.0
7,0.689,0,8,7,50.78
8,0.61,6,6,9,98.75
20,0.26,7,6,0,71.5
4,0.666,9,0,5,100.0
20,0.834,8,1,4,91.15
3,0.327,10,0,4,100.0
11,0.15,1,4,4,72.25
16,0.42,3,1,6,83.5
3,0.831,10,5,9,100.0
13,0.35,0,9,5,39.25
14,0.891,2,0,6,73.72
6,0.356,9,5,10,100.0
19,0.788,8,7,7,76.3
19,0.481,9,8,4,79.97
15,0.312,1,4,3,58.2
17,0.839,8,0,3,99.03
10,0.958,8,0,0,100.0
9,0.184,6,4,3,100.0
14,0.31,9,2,6,100.0
0,0.35,8,5,3,100.0
11,0.12,9,10,10,100.0
12,0.471,3,0,4,90.22
4,0.85,10,8,8,100.0
20,0.439,8,8,9,83.03
11,0.533,8,1,1,100.0
20,0.33,1,1,8,69.75
4,0.217,6,0,2,100.0
19,0.713,3,8,7,44.17
0,0.19,6,6,3,100.0
13,0.392,0,2,7,70.2
19,0.475,10,8,9,96.12
6,0.66,2,2,4,83.5
18,0.15,7,7,1,76.25
13,0.641,0,2,9,67.97
1,0.591,0,0,9,100.0
10,0.211,9,8,9,100.0
13,0.798,1,9,10,44.05
0,0.441,2,4,9,100.0
3,0.769,9,6,3,100.0
9,0.446,1,0,6,88.85
1,0.779,9,2,6,100.0
10,0.643,4,10,4,55.92
9,0.108,9,3,6,100.0
7,0.135,0,7,7,68.62
2,0.657,9,4,1,100.0
14,0.245,3,0,0,83.88
0,0.795,9,0,6,100.0
8,0.744,4,7,7,75.4
2,0.396,8,6,7,100.0
20,0.863,5,10,10,48.42
15,0.404,7,7,7,87.9
9,0.911,4,4,0,67.22
15,0.953,2,3,2,50.17
13,0.306,5,10,4,64.35
4,0.667,1,1,1,79.33
17,0.812,1,8,1,21.7
19,0.678,2,3,5,55.05
2,0.766,8,5,5,100.0
12,0.946,6,9,1,54.35
10,0.57,7,4,9,100.0
19,0.818,2,5,6,45.55
18,0.744,0,3,3,39.4
5,0.953,0,5,8,62.17
7,0.313,6,6,4,98.17
7,0.17,3,10,2,63.75
5,0.334,9,4,1,100.0
8,0.369,0,4,0,58.78
18,0.661,1,9,3,23.47
4,0.34,10,10,7,100.0
4,0.69,4,1,9,100.0
5,0.589,8,6,4,100.0
9,0.709,1,4,1,56.28
15,0.799,2,1,8,74.03
11,0.631,2,6,10,70.22
3,0.229,5,8,0,86.28
2,0.26,6,6,5,100.0
17,0.343,8,1,2,100.0
19,0.446,0,2,5,52.85
8,0.302,5,8,3,80.45
2,0.312,3,1,7,100.0
4,0.183,10,4,3,100.0
4,0.827,9,1,3,100.0
15,0.885,4,3,7,73.88
8,0.156,4,0,7,100.0
20,0.808,8,5,5,77.8
12,0.465,9,6,4,100.0
5,0.112,0,9,5,61.2
10,0.114,10,3,4,100.0
7,0.976,7,6,10,99.6
20,0.232,7,10,5,66.2
7,0.999,5,1,4,95.03
18,0.657,0,1,4,51.58
10,0.529,2,10,5,48.78
2,0.29,0,1,2,88.75
3,0.835,3,2,9,100.0
10,0.211,6,7,0,82.72
12,0.822,6,5,10,91.45
6,0.179,1,8,6,69.53
16,0.626,7,3,6,94.35
16,0.129,4,4,8,88.78
16,0.404,10,7,10,100.0
13,0.704,5,3,4,82.4
9,0.652,6,8,0,69.7
6,0.268,3,5,5,89.3
15,0.311,7,4,7,100.0
10,0.618,10,3,8,100.0
9,0.766,1,5,8,64.85
6,0.341,3,4,1,83.47
2,0.239,1,5,3,82.03
11,0.864,7,2,7,100.0
3,0.172,5,6,9,100.0
6,0.194,3,9,8,81.15
2,0.535,9,3,6,100.0
20,0.757,9,4,10,99.08
16,0.748,7,10,10,71.3
0,0.502,2,9,10,83.45
1,0.127,10,1,0,100.0
16,0.623,4,8,4,52.42
17,0.389,9,8,1,80.28
4,0.668,10,8,5,100.0
0,0.362,4,3,4,100.0
2,0.788,10,5,1,100.0
5,0.186,7,5,6,100.0
12,0.627,8,3,4,100.0
16,0.533,0,0,9,72.67
5,0.773,4,8,5,72.67
1,0.64,7,5,1,100.0
20,0.822,4,7,2,39.45
20,0.924,3,4,7,52.9
1,0.871,6,8,4,88.22
6,0.713,5,8,3,74.17
16,0.567,3,10,3,37.83
3,0.455,5,6,10,100.0
18,0.388,6,4,2,78.3
11,0.755,1,2,2,61.12
11,0.672,4,2,6,89.2
0,0.107,0,9,9,79.33
7,0.742,2,1,9,93.45
1,0.726,2,2,10,100.0
3,0.981,5,7,0,71.47
8,0.479,2,0,1,86.03
4,0.104,0,8,6,69.4
10,0.328,4,0,9,100.0
12,0.58,4,8,5,63.5
16,0.863,2,9,7,36.42
17,0.757,8,5,1,77.08
11,0.817,6,8,3,67.58
10,0.799,10,1,2,100.0
16,0.432,5,7,7,73.2
16,0.876,9,2,6,100.0
3,0.552,6,10,8,92.2
10,0.721,1,10,0,27.98
17,0.293,7,6,10,96.67
5,0.634,5,2,1,98.15
17,0.205,5,7,8,78.88
18,0.582,8,4,7,95.45
4,0.918,4,7,10,85.05
15,0.648,8,10,7,75.8
0,0.245,5,0,2,100.0
3,0.393,2,7,4,76.17
7,0.457,2,0,0,86.58
7,0.568,2,3,9,89.8
12,0.469,5,5,6,86.28
2,0.529,0,5,0,62.78
0,0.158,2,9,6,84.05
17,0.926,0,2,7,48.85
7,0.525,3,5,6,82.88
2,0.505,3,7,4,81.38
8,0.529,2,6,0,58.78
8,0.374,1,4,0,64.65
16,0.469,0,6,4,40.27
0,0.82,10,3,5,100.0
11,0.793,4,6,8,74.17
15,0.741,2,6,9,57.48
8,0.754,5,1,5,100.0
3,0.67,1,8,2,55.25
12,0.947,5,3,5,80.33
5,0.356,10,9,4,100.0
11,0.559,2,7,7,62.03
10,0.756,4,5,5,75.1
10,0.214,9,5,3,100.0
5,0.134,2,7,9,88.65
12,0.812,9,4,0,93.7
11,0.733,2,2,3,69.67
20,0.834,3,2,7,63.15
0,0.184,4,8,4,95.4
10,0.609,5,8,8,78.78
3,0.694,8,1,7,100.0
17,0.496,7,7,0,67.6
9,0.376,3,0,3,96.6
20,0.282,4,1,7,86.95
11,0.336,1,8,3,49.6
5,0.487,4,3,5,99.83
17,0.399,6,9,9,74.03
13,0.521,6,1,9,100.0
4,0.751,6,0,8,100.0
15,0.259,0,8,2,35.52
12,0.597,8,7,5,91.08
13,0.848,6,5,2,72.8
13,0.348,5,8,6,75.3
0,0.492,1,9,7,71.7
6,0.157,9,1,9,100.0
1,0.418,10,5,10,100.0
20,0.662,3,4,3,51.45
2,0.611,2,10,7,66.72
18,0.774,4,1,4,72.65
9,0.669,6,4,7,99.28
19,0.308,3,4,7,70.3
14,0.114,2,7,0,53.15
9,0.288,5,3,8,100.0
10,0.337,5,10,8,77.58
1,0.707,10,0,1,100.0
1,0.514,0,3,7,87.15
12,0.232,2,9,2,50.2
13,0.15,8,5,0,98.25
20,0.435,7,3,6,91.12
7,0.146,6,4,7,100.0
17,0.521,0,4,4,44.98
4,0.407,4,2,1,99.83
15,0.872,1,8,10,42.2
0,0.453,8,10,2,100.0
3,0.119,4,0,4,100.0
3,0.536,9,0,4,100.0
16,0.754,2,6,7,51.15
5,0.169,7,6,8,100.0
1,0.662,6,8,9,100.0
1,0.474,7,4,2,100.0
13,0.788,4,1,9,92.3
11,0.535,9,10,9,96.62
4,0.557,2,0,10,100.0
20,0.135,9,0,7,100.0
19,0.278,7,7,7,83.05
0,0.619,9,5,4,100.0
1,0.688,7,10,8,98.8
15,0.358,1,6,10,63.05
14,0.589,9,10,2,75.28
13,0.214,1,10,10,54.65
16,0.49,7,10,5,67.75
18,0.999,2,4,9,53.02
1,0.422,3,9,0,69.45
5,0.917,9,8,10,100.0
8,0.796,2,0,0,76.1
19,0.851,5,2,8,78.72
8,0.105,2,7,6,77.38
13,0.342,1,2,3,69.45
16,0.489,10,10,1,77.78
13,0.253,0,4,3,57.67
1,0.994,8,4,7,100.0
6,0.866,4,6,10,86.35
9,0.551,2,9,7,58.22
5,0.491,9,1,4,100.0
18,0.401,10,7,0,85.97
13,0.475,9,3,9,100.0
0,0.959,3,2,7,100.0
12,0.149,3,5,0,70.28
10,0.323,8,6,0,95.92
15,0.896,3,8,10,53.6
16,0.15,0,8,10,52.25
5,0.715,0,3,3,66.12
8,0.385,5,4,0,88.38
18,0.488,0,8,3,25.8
14,0.659,8,2,2,99.53
3,0.87,8,9,0,84.25
1,0.521,6,9,1,86.97
19,0.753,8,3,4,87.17
0,0.932,6,7,8,100.0
16,0.786,6,9,2,52.35
12,0.31,4,4,8,92.25
20,0.764,9,8,5,72.9
19,0.511,5,5,1,61.23
6,0.183,3,10,3,67.42
3,0.345,5,5,8,100.0
10,0.258,4,10,0,57.55
11,0.84,9,10,8,87.0
16,0.61,9,7,9,96.75
5,0.319,6,4,2,100.0
6,0.752,7,0,7,100.0
4,0.127,10,10,3,100.0
9,0.945,7,10,5,70.38
4,0.566,9,0,1,100.0
7,0.247,10,8,0,100.0
0,0.144,0,8,1,66.4
4,0.546,0,3,8,82.35
0,0.832,7,9,2,89.2
16,0.888,3,6,5,49.8
12,0.623,0,5,0,40.42
2,0.58,7,4,0,100.0
4,0.361,7,8,7,100.0
15,0.168,3,9,5,57.8
6,0.907,5,4,0,79.33
19,0.851,7,5,5,72.72
2,0.522,5,7,1,86.95
15,0.385,10,6,8,100.0
17,0.494,2,7,5,47.65
17,0.564,6,9,6,63.9
4,0.431,10,9,0,100.0
16,0.539,6,2,8,98.53
20,0.898,5,8,10,55.55
17,0.404,0,7,4,35.9
7,0.476,8,10,2,86.1
16,0.793,7,8,2,62.17
8,0.608,4,1,6,100.0
8,0.882,8,2,1,100.0
15,0.429,1,0,8,81.28
20,0.746,6,7,5,59.35
1,0.642,2,9,4,65.95
4,0.766,1,10,9,56.85
3,0.541,5,9,0,74.47
15,0.704,10,4,2,100.0
1,0.201,9,8,10,100.0
4,0.576,6,7,5,95.6
12,0.806,10,4,4,100.0
13,0.475,3,8,2,52.12
6,0.168,9,4,6,100.0
9,0.824,1,8,7,49.4
11,0.721,7,0,3,100.0
4,0.233,4,9,8,90.17
13,0.942,9,4,3,94.45
10,0.123,2,6,9,82.92
15,0.167,5,4,6,91.83
6,0.419,9,4,3,100.0
0,0.584,1,8,1,61.4
19,0.37,3,6,0,46.75
14,0.872,3,10,3,34.2
11,0.45,6,4,10,100.0
3,0.392,7,5,4,100.0
4,0.43,6,5,8,100.0
10,0.129,2,3,1,78.78
17,0.883,6,2,8,87.92
15,0.683,10,2,4,100.0
4,0.87,5,4,6,96.25
9,0.914,1,7,8,53.15
2,0.67,4,5,1,85.25
20,0.406,4,0,4,81.85
1,0.677,9,8,8,100.0
18,0.301,3,4,8,74.47
17,0.832,2,1,10,73.2
16,0.83,7,8,2,61.25
2,0.133,8,7,8,100.0
18,0.839,5,8,3,47.03
4,0.431,2,9,0,57.22
3,0.46,10,3,0,100.0
10,0.222,5,6,0,80.45
14,0.474,0,5,2,44.15
15,0.326,6,6,0,73.85
4,0.226,0,10,5,56.35
19,0.537,7,6,5,76.58
2,0.708,4,2,5,100.0
16,0.9,2,0,2,61.5
3,0.15,6,10,1,88.25
15,0.976,2,9,2,25.6
6,0.75,8,5,2,100.0
10,0.324,7,4,3,100.0
11,0.205,8,4,10,100.0
19,0.802,3,4,7,57.95
15,0.913,8,5,4,83.17
2,0.894,7,5,2,99.65
13,0.949,0,4,9,52.28
1,0.456,5,10,1,78.6
4,0.873,7,0,10,100.0
2,0.384,4,2,5,100.0
4,0.36,9,1,5,100.0
3,0.442,8,0,8,100.0
17,0.191,8,8,4,85.22
15,0.747,0,3,1,41.33
6,0.401,2,5,7,83.97
8,0.838,1,10,1,31.05
5,0.483,0,4,9,79.92
3,0.801,2,6,5,71.97
15,0.922,4,7,8,58.95
20,0.392,4,5,7,68.2
7,0.673,5,9,6,75.17
7,0.975,0,2,2,57.62
5,0.603,6,7,7,96.92
2,0.392,3,2,2,100.0
3,0.259,8,6,5,100.0
16,0.583,6,8,7,71.42
5,0.891,0,9,5,41.72
20,0.914,6,2,0,65.15
17,0.357,4,9,2,49.08
13,0.669,7,5,7,93.28
13,0.898,7,8,10,81.55
15,0.771,4,3,1,64.72
15,0.658,2,0,4,73.55
20,0.818,8,3,6,87.55
3,0.312,8,5,4,100.0
16,0.393,3,7,9,66.17
3,0.995,2,4,8,81.12
13,0.353,0,6,10,61.17
4,0.731,1,2,5,81.72
0,0.876,6,5,1,96.1
3,0.981,1,9,7,53.47
16,0.492,3,9,4,45.7
1,0.122,4,1,10,100.0
0,0.101,10,7,10,100.0
2,0.528,0,3,1,72.8
9,0.379,9,8,4,100.0
12,0.222,4,4,5,88.45
2,0.915,0,5,7,67.12
20,0.164,1,7,3,39.9
13,0.306,0,8,1,36.35
9,0.956,6,1,4,98.1
18,0.511,2,10,6,35.23
4,0.486,1,6,4,69.85
4,0.532,8,6,8,100.0
6,0.523,0,6,7,64.92
19,0.125,4,9,5,56.88
16,0.611,8,9,0,64.72
0,0.927,3,0,8,100.0
7,0.475,8,6,7,100.0
18,0.278,3,8,6,55.05
4,0.283,10,0,10,100.0
13,0.558,1,8,9,52.05
11,0.2,4,7,2,73.0
5,0.14,10,2,7,100.0
5,0.726,0,3,0,59.85
2,0.421,3,0,7,100.0
6,0.742,3,2,7,93.45
7,0.714,0,2,0,60.15
9,0.13,1,4,6,80.75
19,0.297,3,3,3,66.58
17,0.244,0,5,9,57.9
19,0.712,2,1,9,70.2
15,0.526,8,5,1,86.85
4,0.702,1,9,7,58.45
18,0.747,5,6,8,67.33
19,0.545,2,2,0,52.38
9,0.475,2,6,2,62.12
3,0.715,6,5,1,94.12
9,0.701,5,2,7,100.0
13,0.876,3,10,1,32.1
10,0.256,8,9,6,97.6
20,0.76,9,10,0,55.0
12,0.908,0,4,7,51.3
1,0.612,7,6,0,100.0
1,0.778,10,6,1,100.0
10,0.671,4,5,4,75.22
17,0.278,0,2,6,63.05
11,0.932,8,8,4,78.7
0,0.517,7,8,8,100.0
4,0.435,3,3,6,99.12
7,0.261,3,3,3,91.47
5,0.304,7,7,4,100.0
4,0.58,4,4,0,85.5
15,0.81,0,10,6,21.75
3,0.526,6,1,3,100.0
20,0.96,5,1,10,82.0
7,0.892,8,0,5,100.0
14,0.253,5,1,7,100.0
5,0.851,6,1,8,100.0
5,0.176,4,7,0,81.6
15,0.794,6,8,7,68.15
4,0.286,8,10,8,100.0
14,0.193,2,7,1,53.17
8,0.98,8,4,10,100.0
8,0.483,3,8,8,73.92
13,0.624,1,1,7,74.4
6,0.51,2,9,7,65.25
13,0.797,8,6,7,92.08
5,0.895,0,9,8,47.62
16,0.298,6,4,7,94.55
0,0.634,0,9,2,52.15
9,0.298,5,3,0,92.55
16,0.892,4,1,7,79.7
10,0.167,4,4,2,87.83
11,0.266,1,8,7,59.35
8,0.564,3,8,3,61.9
2,0.992,7,5,1,95.2
15,0.441,0,2,9,68.97
6,0.242,3,7,5,81.95
3,0.334,4,1,3,100.0
6,0.206,5,6,10,100.0
19,0.836,0,1,1,39.1
14,0.693,1,0,7,74.67
19,0.62,4,9,7,48.5
7,0.429,1,8,7,63.28
19,0.27,7,5,10,97.25
7,0.347,5,10,0,67.33
11,0.405,1,3,10,81.88
13,0.803,2,4,7,63.92
3,0.928,6,10,7,80.8
16,0.824,10,10,7,81.4
5,0.66,5,2,10,100.0
10,0.896,9,7,0,83.6
5,0.565,5,4,7,100.0
15,0.416,0,6,9,53.6
16,0.157,2,2,6,80.08
12,0.752,7,9,1,65.2
20,0.849,8,7,1,60.78
7,0.496,2,9,10,69.6
14,0.979,3,6,5,51.53
10,0.777,4,8,7,66.58
3,0.724,0,3,3,69.9
