name,competition_density,novelty_score,market_growth,pain_severity,monetization_signal,description_quality,topic_diversity,votes,label
Aura Kinetic,0.41668471693992615,0.537,0.32,0.2,0.2,0.5,0.25,0,0
BlackICE PortalOS,0.43835926055908203,0.5432,0.44,0.2,0.30000000000000004,0.15,0.5499999999999999,0,0
Concertbuddy,0.24603697657585144,0.7349,0.2,0.32,0.2,0.5,0.5499999999999999,0,0
Mead Family Dental,0.20647799968719482,0.7831,0.32,0.2,0.30000000000000004,0.5,0.4,0,0
Rupey Network ,0.3214836120605469,0.6618,0.32,0.2,0.2,0.2,0.4,0,0
Shorts Factory,0.45026835799217224,0.5128,0.2,0.2,0.2,0.55,0.5499999999999999,0,0
WordUnscrambler – Free Word Game Solver,0.3411288261413574,0.6449,0.2,0.2,0.2,0.35,0.4,0,0
100 SDXL Phone Prompts,0.3833020329475403,0.602,0.2,0.2,0.2,0.82,0.25,0,0
RepoRAG,0.3502652943134308,0.6262,0.44,0.2,0.2,0.76,0.7,0,0
Formiq,0.363132119178772,0.6021,0.44,0.2,0.2,0.5,0.5499999999999999,0,0
أملاكي العقارية,0.3158303499221802,0.6658,0.44,0.2,0.4,0.76,0.4,0,0
Suplenet,0.2533682882785797,0.7133,0.32,0.2,0.2,0.15,0.4,0,0
BulkWizards,0.4713859558105469,0.4998,0.32,0.2,0.2,0.55,0.5499999999999999,0,0
CatGO V5 prototype 1,0.35822293162345886,0.6255,0.32,0.2,0.2,0.55,0.4,0,0
PupiloScan AI,0.33903181552886963,0.642,0.44,0.2,0.2,0.56,0.5499999999999999,0,0
Guess the Star: Before Fame,0.24048776924610138,0.7194,0.2,0.2,0.2,0.41,0.7,0,0
HelloManny,0.47320371866226196,0.4999,0.44,0.2,0.5,0.56,0.5499999999999999,0,0
DEV TOOL BOX PRO,0.446546733379364,0.52,0.44,0.2,0.2,0.76,0.7,0,0
AI Governance Infrastructure,0.4796880781650543,0.4823,0.32,0.2,0.2,0.5,0.5499999999999999,0,0
SignUp,0.3981694281101227,0.5713,0.2,0.2,0.2,0.76,0.5499999999999999,0,0
QuoteStack,0.362811803817749,0.5952,0.44,0.32,0.5,0.5,0.5499999999999999,0,0
Zensia,0.2867601215839386,0.6993,0.44,0.2,0.2,0.35,0.5499999999999999,0,0
resumebot,0.39436259865760803,0.5766,0.2,0.2,0.2,0.7,0.5499999999999999,0,0
Tally Counter App,0.37464991211891174,0.5915,0.44,0.2,0.4,0.35,0.5499999999999999,0,0
FastROI,0.3595689535140991,0.5989,0.2,0.2,0.30000000000000004,0.35,0.25,0,0
https://free-ai-convert.vercel.app/,0.3951549530029297,0.561,0.2,0.2,0.2,0.3,0.25,0,0
Pantry-Pal,0.4540494978427887,0.503,0.32,0.32,0.2,0.53,0.4,0,0
Image to PDF Converter,0.39993909001350403,0.5288,0.44,0.2,0.2,0.35,0.5499999999999999,0,0
Mimiri Notes,0.3634752631187439,0.6041,0.32,0.2,0.30000000000000004,0.56,0.7,0,0
Kurzly,0.3307868540287018,0.6461,0.44,0.2,0.30000000000000004,0.35,0.5499999999999999,0,0
Thehiddenrooms,0.24143919348716736,0.7383,0.2,0.2,0.2,0.15,0.25,0,0
"11 Language,Personal Development Courses",0.3140614628791809,0.6394,0.2,0.2,0.30000000000000004,0.7,0.4,0,0
The Peptide Labs,0.2911977469921112,0.6818,0.2,0.2,0.2,0.15,0.4,0,0
Product Check,0.35065728425979614,0.6285,0.32,0.32,0.2,0.35,0.5499999999999999,0,0
Mermade,0.3747867941856384,0.5907,0.44,0.2,0.2,0.56,0.5499999999999999,0,0
ReviewRadar,0.4036550521850586,0.5782,0.32,0.32,0.2,0.7,0.5499999999999999,0,0
create n post,0.34485116600990295,0.6369,0.2,0.2,0.30000000000000004,0.41,0.4,0,0
"14 3D, Animation & Graphics Courses",0.31341224908828735,0.6529,0.2,0.2,0.30000000000000004,0.7,0.4,0,0
MediaSqueezer,0.40898996591567993,0.5642,0.32,0.2,0.30000000000000004,0.7,0.25,0,0
MyBiz.ad - URL Shortener & Biolink Tool,0.3811311721801758,0.5978,0.32,0.2,0.2,0.41,0.5499999999999999,0,0
Crea8,0.3774109482765198,0.6012,0.32,0.32,0.2,0.5,0.5499999999999999,0,0
DuffyBot,0.37614625692367554,0.5949,0.32,0.56,0.30000000000000004,0.56,0.5499999999999999,0,0
Cortx,0.31980007886886597,0.6689,0.44,0.2,0.2,0.6799999999999999,0.5499999999999999,0,0
IAM For Ai Agent,0.5708160400390625,0.4061,0.56,0.32,0.30000000000000004,0.5,0.5499999999999999,0,0
Luroq,0.24206872284412384,0.728,0.2,0.2,0.2,0.35,0.25,0,0
Video and Photo Downloader Social Media,0.3609637916088104,0.6174,0.32,0.2,0.2,0.4,0.4,0,0
Not Grandpa Long Sleeve Drop,0.18955525755882263,0.7822,0.2,0.2,0.2,0.5,0.4,0,0
AI Tool Box,0.4934745728969574,0.4914,0.32,0.2,0.2,0.26,0.4,0,0
GuudMind - Journal & AI Diary,0.4581204950809479,0.5142,0.32,0.2,0.2,0.62,0.5499999999999999,0,0
UltiMate Parenting App ,0.3084424138069153,0.6727,0.2,0.2,0.2,0.35,0.7,0,0
FindScholarships.ai,0.4201224446296692,0.5596,0.44,0.2,0.30000000000000004,0.35,0.5499999999999999,0,0
BuildUtilities,0.41562485694885254,0.5604,0.32,0.2,0.2,0.41,0.4,0,0
Time Miner,0.3837749660015106,0.59,0.2,0.32,0.30000000000000004,0.42,0.4,0,0
Kocktail Kraft - Bartender in India,0.2428129017353058,0.7283,0.2,0.2,0.2,0.15,0.25,0,0
Gear Up Technology,0.32454270124435425,0.6633,0.32,0.2,0.2,0.35,0.25,0,0
Prediction Market Daily,0.3357924818992615,0.6289,0.2,0.2,0.2,0.35,0.4,0,0
ShortsFactory,0.37846675515174866,0.5694,0.32,0.2,0.2,0.76,0.5499999999999999,0,0
bulky.gg,0.29605036973953247,0.678,0.32,0.2,0.30000000000000004,0.15,0.5499999999999999,0,0
TempGhost,0.35466670989990234,0.6082,0.32,0.2,0.30000000000000004,0.41,0.25,0,0
CAMAudit,0.38694578409194946,0.5834,0.2,0.44,0.30000000000000004,0.76,0.4,0,0
Fantasy Football Team Optimizer,0.27632689476013184,0.7097,0.2,0.2,0.30000000000000004,0.56,0.5499999999999999,0,0
AlphaQuark,0.44940653443336487,0.5421,0.44,0.2,0.4,0.62,0.5499999999999999,0,0
rednote Growth & Monetization Playbook,0.39393770694732666,0.5944,0.2,0.2,0.2,0.76,0.5499999999999999,0,0
Padel Net,0.309908926486969,0.6628,0.2,0.2,0.2,0.47,0.25,0,0
impause,0.3031946122646332,0.66,0.2,0.2,0.2,0.41,0.25,0,0
Facinet,0.34789279103279114,0.6252,0.44,0.2,0.30000000000000004,0.41,0.7,0,0
Vionix,0.4740085005760193,0.5102,0.32,0.32,0.2,0.62,0.4,0,0
CIBIL Credit Score Monitoring | AOPAY,0.4004574418067932,0.5676,0.44,0.2,0.4,0.6799999999999999,0.5499999999999999,0,0
Technojee,0.37712007761001587,0.5967,0.32,0.2,0.30000000000000004,0.36,0.25,0,0
GiftMinder - Gift Planner & AI,0.4194525182247162,0.5402,0.32,0.2,0.2,0.62,0.5499999999999999,0,0
VOLTA,0.20549046993255615,0.781,0.2,0.2,0.2,0.7,0.25,0,0
RedisAtlas,0.3832066059112549,0.5909,0.32,0.2,0.2,0.35,0.7,0,0
StepMate,0.4047020375728607,0.5551,0.32,0.2,0.2,0.47,0.5499999999999999,0,0
AI Invoice OCR for Logistics (,0.4600258767604828,0.5177,0.56,0.32,0.4,0.53,0.5499999999999999,0,0
ParkPulse,0.24815186858177185,0.7102,0.2,0.2,0.2,0.35,0.4,0,0
Conversational AI,0.5423869490623474,0.4333,0.32,0.2,0.30000000000000004,0.47,0.5499999999999999,0,0
Jobtepi,0.3990299105644226,0.5759,0.2,0.2,0.30000000000000004,0.3,0.5499999999999999,0,0
Text To Manga,0.41040629148483276,0.5715,0.2,0.2,0.2,0.0,0.25,0,0
LifeLedger,0.4806820750236511,0.5031,0.32,0.2,0.4,0.2,0.4,0,0
Generador de Contraseñas 2026,0.31819239258766174,0.663,0.44,0.2,0.2,0.55,0.5499999999999999,0,0
Dawaai.info,0.365878701210022,0.6114,0.32,0.2,0.2,0.35,0.7,0,0
